DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Weapon Desc,Status Desc,LOCATION
"231505589,2023-02-08,2020-09-01,1200,N Hollywood,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),10,F,W,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Invest Cont,10800    HORTENSE                     ST"
220615948,2022-09-13,2020-01-01,1200,Hollywood,VIOLATION OF COURT ORDER,31,F,H,,Invest Cont,7000    LANEWOOD                     AV
221013988,2022-09-13,2020-02-13,1625,West Valley,THEFT OF IDENTITY,68,F,O,,Invest Cont,5400    YARMOUTH                     AV
221219627,2022-09-14,2020-09-13,1000,77th Street,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),44,F,H,,Invest Cont,800 W  74TH                         ST
221612373,2022-09-14,2020-01-01,1840,Foothill,THEFT OF IDENTITY,41,M,H,,Invest Cont,9800    AMBOY                        AV
221713457,2022-09-02,2020-02-02,1010,Devonshire,THEFT OF IDENTITY,38,M,B,,Invest Cont,20200    PIENZA                       LN
221014110,2022-09-15,2020-01-04,2125,West Valley,THEFT OF IDENTITY,50,M,W,,Invest Cont,19200    SHERMAN                      WY
222114709,2022-09-26,2020-06-19,0600,Topanga,THEFT OF IDENTITY,42,F,B,,Invest Cont,7900    SAUSALITO                    AV
"221417043,2022-09-28,2020-12-01,0001,Pacific,""BUNCO, GRAND THEFT"",77,M,O,,Invest Cont,3000    WESTWOOD                     BL"
220814938,2022-09-25,2020-08-22,1800,West LA,SHOPLIFTING - PETTY THEFT ($950 & UNDER),42,M,W,,Invest Cont,2000    ROSCOMARE                    RD
"221612872,2022-09-30,2020-09-29,1130,Foothill,BATTERY - SIMPLE ASSAULT,28,M,H,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Invest Cont,11000    NORRIS                       AV"
"221818077,2022-09-28,2020-01-01,0001,Southeast,ORAL COPULATION,6,F,B,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Invest Cont,500 W  92ND                         ST"
220616628,2022-09-19,2020-10-26,1000,Hollywood,DOCUMENT FORGERY / STOLEN FELONY,71,F,H,,Invest Cont,1100    GORDON                       ST
"221714096,2022-09-27,2020-01-09,1200,Devonshire,""CREDIT CARDS, FRAUD USE ($950 & UNDER"",84,F,H,,Invest Cont,19300    ROMAR                        ST"
"221010617,2022-06-16,2020-01-01,1200,West Valley,""THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"",36,M,W,,Invest Cont,19200    LIAM                         LN"
